id	name
1	u,Снаряжение\0
2	u,Предмет\0
3	u,Квестовый предмет\0
4	u,Бронза\0
5	u,Сталь\0
6	u,Дерево\0
7	u,Кость\0
8	u,Ткань\0
9	u,Кожа\0
10	u,Хлопок\0
11	u,Крепкая Сталь\0
12	u,Орихарукон\0
13	u,Дамаск\0
14	u,Адамантит\0
15	u,Кровавая Сталь\0
16	u,Бумага\0
17	u,Хризолит\0
18	u,Серебро\0
19	u,Золото\0
20	u,Адамантит\0
21	u,Мифрил\0
22	u,Рог\0
23	u,Кость Дракона\0
24	u,Кристалл\0
25	u,Цвет\0
26	u,Паутина\0
27	u,Нет\0
28	u,Нижнее Белье\0
29	u,Правое ухо\0
30	u,Левое ухо\0
31	u,Шея\0
32	u,Правый палец\0
33	u,Левый палец\0
34	u,Голова\0
35	u,Правая рука\0
36	u,Левая рука\0
37	u,Перчатки\0
38	u,Верх\0
39	u,Низ\0
40	u,Обувь\0
41	u,Плащ\0
42	u,Двуручник\0
43	u,Меч\0
44	u,Дубина\0
45	u,Кинжал\0
46	u,Копье\0
47	u,Кастет\0
48	u,Лук\0
49	u,Остальное\0
50	u,Имя\0
51	u,Ячейка\0
52	u,Вес\0
53	u,Материал\0
54	u,Физ. Защ.\0
55	u,Физ. Атк.\0
56	u,Тип Оружия\0
57	u,Описание\0
58	u,Воздух\0
59	u,Ветка Орбиса\0
60	u,Ветка Древа Мира\0
61	u,Медь\0
62	u,Труп\0
63	u,Ворона\0
64	u,Бриллиант\0
65	u,Лекарство\0
66	u,Глаз\0
67	u,Перо\0
68	u,Лен\0
69	u,Шкура\0
70	u,Яйцо\0
71	u,Насекомое\0
72	u,Кожа дракона\0
73	u,Кожа дрейка\0
74	u,Кожа льва\0
75	u,Кожа мантикоры\0
76	u,Кожа пумы\0
77	u,Кожа саламандры\0
78	u,Кожа единорога\0
79	u,Жидкость\0
80	u,Пергамент\0
81	u,Песок\0
82	u,Чешуя Дракона\0
83	u,Шелк\0
84	u,Череп\0
85	u,Череп Виверны\0
86	u,Вода\0
87	u,Шерсть\0
88	u,Ур.\0
89	u,Опыт\0
90	a,HP\0
91	a,MP\0
92	a,SP\0
93	u,Битва\0
94	u,Физ. Атк.\0
95	u,Физ. Защ.\0
96	u,Точность\0
97	u,Уворот\0
98	u,Маг. Атк.\0
99	u,Маг. Защ.\0
100	u,Общение\0
101	u,Карма\0
102	u,Слава\0
103	u,Параметры\0
104	u,СИЛ\0
105	u,ЛВК\0
106	u,ВЫН\0
