id	id2	Name	Html_Color
0	10001	순정 마초 스타일 A	u,<br><BLUE01>까탈스럽지만 한 여성에 순정을 바치는 남자 스타일</BLUE01>\0
0	10002	꽃보다 남자 스타일 A	u,<br><BLUE01>카리스마 넘치는 재벌가 스타일</BLUE01>\0
0	10003	파이어리츠 스타일	u,<br><BLUE01>카리브해 해적들을 연상시키는 모험가 스타일</BLUE01>\0
0	10004	용기빼면 시체 스타일	u,<br><BLUE01>포기를 모르는 전투가 스타일</BLUE01>\0
0	10005	누난 내여자니까 스타일 A	u,<br><BLUE01>풋풋한 연하남 스타일</BLUE01>\0
0	10006	귀공자의 위엄 스타일 A	u,<br><BLUE01>젠틀하고 도도한 귀공자 스타일</BLUE01>\0
0	10007	순정 마초 스타일 B	u,<br><BLUE01>까탈스럽지만 한 여성에 순정을 바치는 남자 스타일</BLUE01>\0
0	10008	꽃보다 남자 스타일 B	u,<br><BLUE01>카리스마 넘치는 재벌가 스타일</BLUE01>\0
0	10009	누난 내여자니까 스타일 B	u,<br><BLUE01>풋풋한 연하남 스타일</BLUE01>\0
0	10010	귀공자의 위엄 스타일 B	u,<br><BLUE01>젠틀하고 도도한 귀공자 스타일</BLUE01>\0
1	10001	차가운 도시 여자 스타일 A	u,<br><BLUE01>완벽주의를 추구하는 차가운 도시 여자 스타일</BLUE01>\0
1	10002	맛있는 버섯 스타일 A	u,<br><BLUE01>버섯요리를 해야할 것 같은 귀여운 스타일</BLUE01>\0
1	10003	파이어리츠 스타일	u,<br><BLUE01>카리브해 해적들을 연상시키는 모험가 스타일</BLUE01>\0
1	10004	포니테일 스타일	u,<br><BLUE01>포기를 모르는 여전사 스타일</BLUE01>\0
1	10005	여전사의 카리스마 스타일 A	u,<br><BLUE01>강한 여전사의 풍모가 느껴지는 스타일</BLUE01>\0
1	10006	바람과 함께 사라지다 스타일 A	u,<br><BLUE01>바람에 날려갈뻔했던 스타일</BLUE01>\0
1	10007	차가운 도시 여자 스타일 B	u,<br><BLUE01>완벽주의를 추구하는 차가운 도시 여자 스타일</BLUE01>\0
1	10008	맛있는 버섯 스타일 B	u,<br><BLUE01>버섯요리를 해야할 것 같은 귀여운 스타일</BLUE01>\0
1	10009	여전사의 카리스마 스타일 B	u,<br><BLUE01>강한 여전사의 풍모가 느껴지는 스타일</BLUE01>\0
1	10010	바람과 함께 사라지다 스타일 B	u,<br><BLUE01>바람에 날려갈뻔했던 스타일</BLUE01>\0
2	10001	다크호스의 기운 스타일 A	u,<br><BLUE01>고요하면서도 날카로움을 한껏 살린 스타일</BLUE01>\0
2	10002	암살자의 살기 스타일 A	u,<br><BLUE01>다크엘프의 날렵함을 강조한 스타일</BLUE01>\0
2	10003	파이어리츠 스타일	u,<br><BLUE01>카리브해 해적들을 연상시키는 모험가 스타일</BLUE01>\0
2	10004	용기빼면 시체 스타일	u,<br><BLUE01>포기를 모르는 전투가 스타일</BLUE01>\0
2	10005	광기의 다크엘프 스타일 A	u,<br><BLUE01>분노를 폭발시키고 광기를 강조한 스타일</BLUE01>\0
